colaborador,area,calificacion_desempeno,meta_trimestral,cumplimiento,edad,salario,anios_en_empresa,kpi_productividad,kpi_calidad
Claudia Muñoz,IT,93,95,93,36,809178,8,0.8,0.58
Ronald Vargas,Operaciones,65,100,88,24,879365,5,0.98,0.92
Josué Soto,Operaciones,75,85,76,43,808795,9,0.65,0.81
Jorge Rojas,Operaciones,70,90,67,58,1078178,7,0.59,0.53
Sofía León,RRHH,68,88,73,47,618148,2,0.84,0.72
Josué Ríos,RRHH,62,90,78,38,1010337,8,0.88,0.71
Valeria Ugalde,Operaciones,72,88,98,31,773165,4,0.8,0.96
Tatiana Jiménez,RRHH,94,100,80,39,1157086,5,0.79,0.98
Óscar Villalobos,IT,69,100,65,46,852918,9,0.89,0.6
Daniela Cordero,Marketing,71,90,99,54,562666,5,0.96,0.83
Isabel León,IT,62,95,98,54,901279,7,0.66,0.66
Andrés Sandoval,IT,89,85,99,58,689182,14,0.92,0.86
Fabiola Zúñiga,RRHH,63,88,77,53,1322838,1,0.66,0.75
Luis Araya,RRHH,69,90,93,57,874767,7,0.64,0.58
Andrea Gómez,Marketing,60,95,92,41,702906,10,0.56,0.68
Vanessa Aguilar,IT,81,85,77,24,1049046,6,0.76,0.71
Rocío Valverde,Finanzas,96,95,88,36,885674,6,0.61,0.78
Luis Soto,RRHH,66,88,67,58,1290976,8,0.52,0.8
Pedro Solís,Operaciones,86,85,65,40,727789,2,0.77,0.72
Laura Solano,Marketing,65,90,81,59,1011079,5,0.82,0.82
Claudia Fernández,IT,63,95,70,37,565708,3,0.8,0.84
Pablo Méndez,Marketing,73,95,96,28,764835,9,0.85,0.69
Melissa Fernández,Marketing,65,95,89,44,1358350,14,0.85,0.61
Claudia Solano,IT,56,85,76,26,667796,11,0.59,0.64
Isabel Solano,Marketing,74,85,88,32,928480,8,0.89,0.83
Melissa Jiménez,Operaciones,89,85,93,39,1252335,14,0.77,0.85
María Arce,Marketing,87,95,97,35,1427844,4,0.68,0.87
Valeria Delgado,IT,66,90,86,43,950109,14,0.99,0.7
Claudia Ríos,IT,88,100,94,54,919599,1,0.6,0.86
Cindy Zúñiga,RRHH,71,95,92,51,855628,14,0.96,0.69
Hillary Araya,Finanzas,85,90,97,42,818246,1,0.66,0.58
Mario Arce,Marketing,57,88,96,43,568070,2,0.63,0.65
Sofía Mora,RRHH,63,90,93,47,785362,2,0.93,0.96
Luis Solís,IT,74,85,72,37,1034299,3,0.67,0.69
Kattia Zúñiga,Marketing,79,88,86,43,581024,4,0.52,0.65
Juan Pablo Hernández,RRHH,62,100,69,25,1271772,4,0.71,0.85
Silvia Chacón,Operaciones,96,90,81,40,578251,10,0.54,0.51
Tatiana Gómez,RRHH,55,88,65,55,727247,14,0.55,0.59
Vanessa Ramírez,Marketing,93,100,86,50,1264998,3,0.62,0.68
Mario Solano,RRHH,83,95,69,51,628781,4,0.59,0.51
Felipe Vargas,Operaciones,93,95,97,51,1045972,7,0.52,0.97
Óscar Hernández,Finanzas,85,88,83,53,741232,8,0.83,0.58
Kattia Zúñiga,Operaciones,82,90,84,45,1264635,2,0.79,0.56
Julián Vargas,RRHH,57,85,97,31,1157274,12,0.64,0.61
Cindy Cordero,Operaciones,89,85,90,29,1162956,10,0.84,0.67
Daniel Duarte,IT,99,90,93,57,610692,13,0.64,0.59
Gabriela Muñoz,Marketing,89,95,82,53,1294086,14,0.78,0.62
Gabriela León,Marketing,89,85,94,38,1184736,14,0.75,0.69
Claudia Rojas,RRHH,90,95,83,33,1275256,7,0.98,0.84
Lorena Paniagua,RRHH,59,90,76,46,1216490,5,0.88,0.9
Laura Brenes,Operaciones,96,88,78,52,1439465,5,0.87,0.77
Samuel Delgado,Finanzas,63,88,81,59,1075830,14,0.85,0.54
Kevin Arce,Marketing,56,100,93,58,866837,3,0.79,0.93
Mario León,IT,99,95,70,52,753196,12,0.78,0.71
Ana Pérez,RRHH,99,100,92,41,1261131,8,0.56,0.82
Bryan Paniagua,RRHH,82,85,89,54,1439765,5,0.98,0.51
Helen Jiménez,Marketing,75,100,75,58,809747,3,0.85,0.54
Melissa López,Operaciones,68,85,67,37,722502,9,0.96,0.98
Daniela Soto,RRHH,78,95,72,49,1064723,10,0.69,0.61
Marcos Castro,IT,95,95,91,38,1415184,5,0.91,0.84
