colaborador,area,calificacion_desempeno,meta_trimestral,cumplimiento,edad,salario,anios_en_empresa,kpi_productividad,kpi_calidad,clasificacion
Claudia Muñoz,IT,93,95,93,36,809178,8,0.8,0.58,Alta
Ronald Vargas,Operaciones,65,100,88,24,879365,5,0.98,0.92,Media
Josué Soto,Operaciones,75,85,76,43,808795,9,0.65,0.81,Media
Jorge Rojas,Operaciones,70,90,67,58,1078178,7,0.59,0.53,Media
Sofía León,RRHH,68,88,73,47,618148,2,0.84,0.72,Media
Josué Ríos,RRHH,62,90,78,38,1010337,8,0.88,0.71,Baja
Valeria Ugalde,Operaciones,72,88,98,31,773165,4,0.8,0.96,Media
Tatiana Jiménez,RRHH,94,100,80,39,1157086,5,0.79,0.98,Alta
Óscar Villalobos,IT,69,100,65,46,852918,9,0.89,0.6,Media
Daniela Cordero,Marketing,71,90,99,54,562666,5,0.96,0.83,Media
Isabel León,IT,62,95,98,54,901279,7,0.66,0.66,Baja
Andrés Sandoval,IT,89,85,99,58,689182,14,0.92,0.86,Alta
Fabiola Zúñiga,RRHH,63,88,77,53,1322838,1,0.66,0.75,Baja
Luis Araya,RRHH,69,90,93,57,874767,7,0.64,0.58,Media
Andrea Gómez,Marketing,60,95,92,41,702906,10,0.56,0.68,Baja
Vanessa Aguilar,IT,81,85,77,24,1049046,6,0.76,0.71,Media
Rocío Valverde,Finanzas,96,95,88,36,885674,6,0.61,0.78,Alta
Luis Soto,RRHH,66,88,67,58,1290976,8,0.52,0.8,Media
Pedro Solís,Operaciones,86,85,65,40,727789,2,0.77,0.72,Media
Laura Solano,Marketing,65,90,81,59,1011079,5,0.82,0.82,Media
Claudia Fernández,IT,63,95,70,37,565708,3,0.8,0.84,Baja
Pablo Méndez,Marketing,73,95,96,28,764835,9,0.85,0.69,Media
Melissa Fernández,Marketing,65,95,89,44,1358350,14,0.85,0.61,Media
Claudia Solano,IT,56,85,76,26,667796,11,0.59,0.64,Baja
Isabel Solano,Marketing,74,85,88,32,928480,8,0.89,0.83,Media
Melissa Jiménez,Operaciones,89,85,93,39,1252335,14,0.77,0.85,Alta
María Arce,Marketing,87,95,97,35,1427844,4,0.68,0.87,Media
